Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Tokkan', 'YAVUZ', '05379199371', 'ERKEK', '1976-02-23 0:0:0', 267);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Yurtsevin', 'TİMURTAŞ DAYAR', '05371722748', 'KADIN', '1987-03-23 0:0:0', 232);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Hızlı', 'KUCUR TÜLÜBAŞ', '05346883704', 'ERKEK', '1957-05-21 0:0:0', 673);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Fideyl', 'ÜSTÜNDAĞ', '05348555493', 'ERKEK', '1951-08-20 0:0:0', 412);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Ortak', 'TOLU', '05363297330', 'ERKEK', '2002-12-20 0:0:0', 639);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Koşuktekin', 'ÖZBEK', '05338110924', 'ERKEK', '1944-08-20 0:0:0', 472);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Oktüremiş', 'KAZANCI', '05351448508', 'ERKEK', '1989-08-12 0:0:0', 219);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Nefise', 'TÜLPAR', '05394752820', 'KADIN', '1979-06-24 0:0:0', 524);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Nejdet', 'SAĞCAN', '05327992104', 'KADIN', '1952-05-16 0:0:0', 125);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Esenel', 'SELÇUK', '05343188722', 'ERKEK', '1992-06-09 0:0:0', 124);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Gazale', 'EROL', '05377050001', 'KADIN', '1960-10-03 0:0:0', 791);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Ogeday', 'KÖSE', '05366045990', 'ERKEK', '2004-01-09 0:0:0', 325);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Zülfikar', 'KÜÇÜK', '05387740729', 'ERKEK', '1974-06-21 0:0:0', 713);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Beyazit', 'ATEŞ', '05316841609', 'ERKEK', '1968-06-03 0:0:0', 488);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Monis', 'GÜL', '05341278732', 'ERKEK', '2001-06-25 0:0:0', 284);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Nevfel', 'ÇETEMEN', '05314466674', 'ERKEK', '1971-02-04 0:0:0', 252);
Insert into [Insan] ([Ad], [Soyad], [TelNo], [Cinsiyet], [DogumTarih], [AdresNo]) values ('Oğulbaş', 'YÜKSELMİŞ', '05357914268', 'ERKEK', '1965-10-02 0:0:0', 634);
